time	I(C1)	I(C2)	I(L1)
0.000000000000000e+000	6.000534e-024	1.200000e-023	2.000000e+000
4.999999892015664e+000	-4.224162e-015	0.000000e+000	2.000000e+000
4.999999994903009e+000	-4.432065e-015	6.804675e-001	2.000000e+000
5.000000043216627e+000	-4.396240e-015	1.523203e+000	2.000000e+000
5.000000087244956e+000	-3.940396e-015	2.000000e+000	2.000000e+000
5.005600887443330e+000	1.073452e-006	1.999377e+000	1.999999e+000
5.011201687641704e+000	4.284530e-006	1.998751e+000	1.999996e+000
5.016802487840078e+000	9.633235e-006	1.998124e+000	1.999990e+000
5.022403288038452e+000	1.711957e-005	1.997495e+000	1.999983e+000
5.028004088236825e+000	2.674352e-005	1.996864e+000	1.999973e+000
5.033604888435200e+000	3.850511e-005	1.996231e+000	1.999961e+000
5.039205688633573e+000	5.240432e-005	1.995596e+000	1.999948e+000
5.048873629138125e+000	8.140550e-005	1.994496e+000	1.999919e+000
5.060927705036525e+000	1.264528e-004	1.993116e+000	1.999873e+000
5.075959202236505e+000	1.964269e-004	1.991382e+000	1.999803e+000
5.094704978765655e+000	3.051131e-004	1.989200e+000	1.999694e+000
5.118087317116082e+000	4.739283e-004	1.986449e+000	1.999525e+000
5.147258011174406e+000	7.361177e-004	1.982970e+000	1.999262e+000
5.183660077556673e+000	1.143311e-003	1.978556e+000	1.998853e+000
5.229100451558412e+000	1.775640e-003	1.972934e+000	1.998216e+000
5.285848502769298e+000	2.757481e-003	1.965739e+000	1.997227e+000
5.356757739413883e+000	4.281770e-003	1.956478e+000	1.995688e+000
5.445429843947662e+000	6.632559e-003	1.944496e+000	1.993310e+000
5.545429843947662e+000	9.846501e-003	1.930474e+000	1.990049e+000
5.645429843947661e+000	1.365985e-002	1.915911e+000	1.986171e+000
5.745429843947661e+000	1.807972e-002	1.900801e+000	1.981663e+000
5.845429843947660e+000	2.309478e-002	1.885155e+000	1.976533e+000
5.945429843947660e+000	2.869320e-002	1.868985e+000	1.970791e+000
6.045429843947660e+000	3.486266e-002	1.852302e+000	1.964445e+000
6.145429843947659e+000	4.159036e-002	1.835119e+000	1.957505e+000
6.245429843947659e+000	4.886302e-002	1.817449e+000	1.949981e+000
6.345429843947659e+000	5.666690e-002	1.799305e+000	1.941884e+000
6.445429843947658e+000	6.498787e-002	1.780702e+000	1.933225e+000
6.545429843947658e+000	7.381133e-002	1.761653e+000	1.924016e+000
6.645429843947658e+000	8.312231e-002	1.742173e+000	1.914269e+000
6.745429843947657e+000	9.290545e-002	1.722278e+000	1.903997e+000
6.845429843947657e+000	1.031450e-001	1.701982e+000	1.893213e+000
6.945429843947657e+000	1.138249e-001	1.681301e+000	1.881930e+000
7.045429843947656e+000	1.249288e-001	1.660252e+000	1.870163e+000
7.145429843947656e+000	1.364398e-001	1.638851e+000	1.857926e+000
7.245429843947655e+000	1.483411e-001	1.617114e+000	1.845234e+000
7.345429843947655e+000	1.606153e-001	1.595059e+000	1.832102e+000
7.445429843947655e+000	1.732448e-001	1.572703e+000	1.818545e+000
7.545429843947654e+000	1.862119e-001	1.550063e+000	1.804579e+000
7.645429843947654e+000	1.994985e-001	1.527157e+000	1.790221e+000
7.745429843947654e+000	2.130864e-001	1.504003e+000	1.775487e+000
7.845429843947653e+000	2.269573e-001	1.480619e+000	1.760394e+000
7.945429843947653e+000	2.410925e-001	1.457024e+000	1.744958e+000
8.045429843947654e+000	2.554735e-001	1.433235e+000	1.729198e+000
8.245429843947653e+000	2.848970e-001	1.385152e+000	1.696773e+000
8.445429843947652e+000	3.150761e-001	1.336519e+000	1.663261e+000
8.645429843947651e+000	3.458579e-001	1.287488e+000	1.628808e+000
8.845429843947651e+000	3.770893e-001	1.238209e+000	1.593560e+000
9.045429843947650e+000	4.086172e-001	1.188832e+000	1.557668e+000
9.345429843947649e+000	4.561322e-001	1.114914e+000	1.502946e+000
9.645429843947648e+000	5.034644e-001	1.041614e+000	1.447617e+000
9.945429843947647e+000	5.501176e-001	9.694231e-001	1.392183e+000
1.024542984394765e+001	5.956111e-001	8.988137e-001	1.337140e+000
1.058828698680479e+001	6.468853e-001	8.193680e-001	1.273855e+000
1.093114412966193e+001	6.940476e-001	7.445416e-001	1.213933e+000
